v-sweep,v(vs),v(vg),v(vd),i(v.xdut.v1),i(v.xdut.v2),i(v.xdut.v3),id1,id2,id3,vsg,vsd,gm1,gm2,gm3
1.22,1.8,0.58,0.0,8.56548e-06,1.51183e-05,2.11456e-05,8.565479999999999,15.118300000000001,21.145599999999998,1.2200000000000002,1.8,57.41299999999861,97.15999999999798,139.99999999999662
1.23,1.8,0.57,0.0,9.16185e-06,1.613e-05,2.26069e-05,9.16185,16.13,22.6069,1.23,1.8,59.6370000000013,101.17000000000192,146.13000000000326
1.24,1.8,0.56,0.0,9.78134e-06,1.71839e-05,2.41318e-05,9.78134,17.1839,24.131800000000002,1.24,1.8,61.94900000000002,105.39000000000013,152.4900000000001
1.25,1.8,0.55,0.0,1.04218e-05,1.82748e-05,2.5715e-05,10.421800000000001,18.2748,25.715,1.25,1.8,64.04600000000003,109.08999999999968,158.31999999999965
1.26,1.8,0.54,0.0,1.10842e-05,1.94049e-05,2.73584e-05,11.0842,19.4049,27.3584,1.26,1.8,66.23999999999975,113.01000000000013,164.33999999999983
1.27,1.8,0.53,0.0,1.17684e-05,2.05742e-05,2.90618e-05,11.768400000000002,20.5742,29.0618,1.27,1.8,68.42000000000017,116.92999999999988,170.34000000000006
1.28,1.8,0.52,0.0,1.24742e-05,2.17823e-05,3.08246e-05,12.4742,21.7823,30.824600000000004,1.28,1.8,70.57999999999976,120.8099999999997,176.28000000000006
1.29,1.8,0.51,0.0,1.32017e-05,2.30292e-05,3.26464e-05,13.201699999999999,23.0292,32.6464,1.29,1.8,72.74999999999984,124.6899999999999,182.17999999999944
1.3,1.8,0.5,0.0,1.39505e-05,2.43145e-05,3.45268e-05,13.9505,24.3145,34.5268,1.3,1.8,74.88000000000004,128.52999999999983,188.04
1.31,1.8,0.49,0.0,1.47208e-05,2.56381e-05,3.64654e-05,14.7208,25.6381,36.465399999999995,1.31,1.8,77.03,132.36000000000013,193.85999999999922
1.32,1.8,0.48,0.0,1.55123e-05,2.69998e-05,3.84619e-05,15.5123,26.999799999999997,38.4619,1.32,1.8,79.14999999999985,136.16999999999942,199.6500000000003
1.33,1.8,0.47,0.0,1.6325e-05,2.83993e-05,4.05157e-05,16.325,28.3993,40.5157,1.33,1.8,81.26999999999988,139.95000000000022,205.38000000000008
1.34,1.8,0.46,0.0,1.71587e-05,2.98366e-05,4.26266e-05,17.1587,29.8366,42.6266,1.34,1.8,83.36999999999996,143.72999999999993,211.0899999999999
1.35,1.8,0.45,0.0,1.80134e-05,3.13114e-05,4.47942e-05,18.0134,31.3114,44.7942,1.35,1.8,85.47000000000004,147.4799999999997,216.7599999999991
1.36,1.8,0.44,0.0,1.8889e-05,3.28235e-05,4.7018e-05,18.889000000000003,32.8235,47.018,1.36,1.8,87.56000000000014,151.21000000000024,222.38000000000022
1.37,1.8,0.43,0.0,1.97853e-05,3.43728e-05,4.92977e-05,19.7853,34.3728,49.2977,1.37,1.8,89.62999999999957,154.92999999999938,227.96999999999963
1.38,1.8,0.42,0.0,2.07024e-05,3.5959e-05,5.16329e-05,20.7024,35.958999999999996,51.6329,1.3800000000000001,1.8,91.71000000000005,158.61999999999966,233.51999999999984
1.39,1.8,0.41,0.0,2.164e-05,3.7582e-05,5.40234e-05,21.64,37.582,54.0234,1.3900000000000001,1.8,93.75999999999989,162.30000000000032,239.0500000000001
1.4,1.8,0.4,0.0,2.25981e-05,3.92416e-05,5.64687e-05,22.5981,39.2416,56.4687,1.4,1.8,95.81000000000186,165.96000000000328,244.5300000000048
1.41,1.8,0.39,0.0,2.35765e-05,4.09376e-05,5.89685e-05,23.5765,40.937599999999996,58.968500000000006,1.4100000000000001,1.8,97.8399999999978,169.59999999999587,249.979999999995
