Output voltage (V),Process corner,Voltage supply (V),Temperature (°C),Coarse code,Fine code,Timestamp (ns),Mean active power (uW),Minimum active power (uW),Maximum active power (uW),Sleep power (uW),Error voltage (V),Feed voltage (V),Start-up time (ns),monte carlo run
0.878042,ttmm,1.8,0.0,0.011,0.005,536305.0,92.34778278632552,-0.7598795346,127.8522162,0.02318264100000037,0.009026999999999896,0.815854,61903.0,8
0.874482,ttmm,1.8,0.0,0.012,0.005,540505.0,95.64544716215926,-0.9026447147999993,127.43768160000002,0.02319004079999984,0.010525000000000007,0.831093,61903.0,9
0.884764,ttmm,1.8,0.0,0.012,0.007,580905.0,96.63364105041686,-0.25839032615999996,126.44248139999999,0.023453465399999995,0.010213999999999945,0.821412,62000.00000000006,10
0.903284,ttmm,1.8,0.0,0.013,0.005,544705.0,99.51185171963525,-0.04965541199999994,128.220651,0.023176420199999416,0.007066000000000017,0.814562,61903.0,11
0.923064,ttmm,1.8,0.0,0.012,0.003,590905.0,101.38011333911943,-0.8452032804000003,130.1775606,0.023221719000005088,0.0021849999999999925,0.826198,61803.0,12
0.878912,ttmm,1.8,0.0,0.011,0.005,536305.0,92.82439709049889,-0.8238307553999992,128.5233426,0.023193009000000226,0.011715000000000031,0.82197,61903.0,13
0.88639,ttmm,1.8,0.0,0.011,0.005,535305.0,92.730176212064,-0.024784857000000146,129.8357892,0.023214914999999885,0.009767999999999999,0.826082,61903.0,14
0.863164,ttmm,1.8,0.0,0.011,0.004,600000.0,89.98697314417544,-0.843053079599997,125.71993979999999,0.023206093200002928,0.009603000000000028,0.811947,58295.0,15
0.916904,ttmm,1.8,0.0,0.012,0.004,600000.0,97.41297443359275,-0.016045904159999763,129.224709,0.023198101200000057,0.006033000000000066,0.816107,53895.0,16
0.897366,ttmm,1.8,0.0,0.012,0.006,560502.0,97.55404330377907,-0.021443448600002375,129.3969402,0.023185358999997643,0.008956999999999993,0.830266,61897.00000000006,17
0.916239,ttmm,1.8,0.0,0.012,0.004,562505.0,98.73336895031251,-0.865980702,128.788218,0.023197312799998343,0.005360000000000031,0.830189,61903.00000000006,18
1.00621,ttmm,1.8,0.0,0.009,0.007,558305.0,100.08354202745579,-0.01187137134000248,128.01089340000001,0.023279740199997696,-0.004800999999999944,0.846705,62799.99999999994,19
,ttmm,1.8,0.0,,,,95.81506596877408,44.96984874,110.9635956,,,,,20
0.908388,ttmm,1.8,0.0,0.011,0.004,600000.0,93.74090936898104,0.00519435666000084,129.98253960000002,0.02319280740000121,0.003610000000000002,0.817919,58295.0,21
0.910159,ttmm,1.8,0.0,0.011,0.004,600000.0,92.69386691433407,-0.8048510424000008,126.39755699999999,0.023197753799999474,0.007340000000000013,0.81915,57698.0,22
,ttmm,1.8,0.0,,,,104.43026144851176,45.8968491,119.9197494,,,,,23
0.868176,ttmm,1.8,0.0,0.011,0.005,535305.0,93.71433912467509,-0.8027343792,129.6448218,0.0232010675999998,0.013091999999999993,0.808988,61903.0,24
,ttmm,1.8,0.0,,,,105.30917797849499,45.875035440000005,119.9328372,,,,,25
0.897006,ttmm,1.8,0.0,0.011,0.004,600000.0,93.84526166379565,-0.8061915941999971,129.83945580000002,0.023189792400002317,0.0061430000000000096,0.817675,58295.0,26
0.926559,ttmm,1.8,0.0,0.011,0.005,535205.0,95.72366553922247,-0.022735952999998234,132.2845992,0.023190982200001833,0.005139000000000005,0.829024,61803.0,27
0.963396,ttmm,1.8,0.0,0.011,0.003,556102.0,92.64199213504293,-0.8298949248,131.0791896,0.023284409400000032,-0.0014459999999999473,0.830063,61697.00000000006,28
0.899569,ttmm,1.8,0.0,0.013,0.004,524702.0,101.81312265862252,-0.0769233708000007,127.2648798,0.02318428799999932,0.00675199999999998,0.814276,61900.0,29
0.984631,ttmm,1.8,40.0,0.011,0.004,600000.0,84.3427206767935,-0.10529931959999721,121.07365290000001,0.023794023600002333,-0.002619000000000038,0.746338,58798.0,0
